+--------------+--------------+--------------+--------------+------------------+--------------+
|         load |        build |        solve |     evaluate |              cut |        total |
+--------------+--------------+--------------+--------------+------------------+--------------+
Total...
Creating variable map...
Creating variable map done 165.045603 msec
Counting QUBO weights...
Counting QUBO weights done 82.348624 msec
Converting QUBO to CRS format...
  Adding weights...
  Adding weights done 700.144738 msec
  Creating CRS data...
  Creating CRS data done 6.832420 msec
Converting QUBO to CRS format done 707.238978 msec
scaling factor: 6.91464e+07
number of QUBO weights: 321230, rate: 0.5%
Solve...
Progress: 1.878[s], energy -755695992331980, penalty energy 0, src id 0
Progress: 1.879[s], energy -755737656848908, penalty energy 0, src id 0
Progress: 3.089[s], energy -756577108598467, penalty energy 0, src id 0
Progress: 3.090[s], energy -756647099054074, penalty energy 0, src id 0
Progress: 3.090[s], energy -756684320029789, penalty energy 0, src id 0
Progress: 4.110[s], energy -757227919441916, penalty energy 0, src id 0
Progress: 4.110[s], energy -757288116350159, penalty energy 0, src id 0
Progress: 4.991[s], energy -757518470311868, penalty energy 0, src id 0
Progress: 4.991[s], energy -757609179843556, penalty energy 0, src id 0
Progress: 5.741[s], energy -757700215222723, penalty energy 0, src id 0
Progress: 5.741[s], energy -757710835008082, penalty energy 0, src id 0
Progress: 5.741[s], energy -757719568053721, penalty energy 0, src id 0
Progress: 5.741[s], energy -757725116711362, penalty energy 0, src id 0
Progress: 6.452[s], energy -757829500477766, penalty energy 0, src id 0
Progress: 6.453[s], energy -757865214347957, penalty energy 0, src id 0
Progress: 7.079[s], energy -757920175079332, penalty energy 0, src id 0
Progress: 7.080[s], energy -757921593418651, penalty energy 0, src id 0
Progress: 7.731[s], energy -757949699504053, penalty energy 0, src id 0
Progress: 7.731[s], energy -757963461889955, penalty energy 0, src id 0
Progress: 7.731[s], energy -757964975339603, penalty energy 0, src id 0
Progress: 8.240[s], energy -757986127246465, penalty energy 0, src id 0
Progress: 8.240[s], energy -757987328052526, penalty energy 0, src id 0
Progress: 8.791[s], energy -757992634716929, penalty energy 0, src id 0
Progress: 8.791[s], energy -757995351940014, penalty energy 0, src id 0
Progress: 9.270[s], energy -757998114974048, penalty energy 0, src id 0
Progress: 9.270[s], energy -758007185209763, penalty energy 0, src id 0
Progress: 9.270[s], energy -758007227919756, penalty energy 0, src id 0
Progress: 9.833[s], energy -758045284592811, penalty energy 0, src id 0
Progress: 10.340[s], energy -758067242739259, penalty energy 0, src id 0
Progress: 10.340[s], energy -758067931472949, penalty energy 0, src id 0
Progress: 10.340[s], energy -758068722194131, penalty energy 0, src id 0
Progress: 10.828[s], energy -758079754056437, penalty energy 0, src id 0
Progress: 10.828[s], energy -758088802513342, penalty energy 0, src id 0
Progress: 10.828[s], energy -758088805278688, penalty energy 0, src id 0
Progress: 11.399[s], energy -758131996231760, penalty energy 0, src id 0
Progress: 11.921[s], energy -758142692901114, penalty energy 0, src id 0
Progress: 12.386[s], energy -758149372731634, penalty energy 0, src id 0
Progress: 12.386[s], energy -758157400358356, penalty energy 0, src id 0
Progress: 12.880[s], energy -758185989322106, penalty energy 0, src id 0
Progress: 13.373[s], energy -758209059686294, penalty energy 0, src id 0
Progress: 13.374[s], energy -758210213164491, penalty energy 0, src id 0
Progress: 13.374[s], energy -758211477919312, penalty energy 0, src id 0
Progress: 13.374[s], energy -758214489579533, penalty energy 0, src id 0
Progress: 13.877[s], energy -758229983370859, penalty energy 0, src id 0
Progress: 13.877[s], energy -758235684604433, penalty energy 0, src id 0
Progress: 14.349[s], energy -758245295077896, penalty energy 0, src id 0
Progress: 14.846[s], energy -758250090241931, penalty energy 0, src id 0
Progress: 14.847[s], energy -758252496707775, penalty energy 0, src id 0
Progress: 14.847[s], energy -758253819247561, penalty energy 0, src id 0
Progress: 15.318[s], energy -758263508593818, penalty energy 0, src id 0
Progress: 15.318[s], energy -758264645148302, penalty energy 0, src id 0
Progress: 15.318[s], energy -758270025293453, penalty energy 0, src id 0
Progress: 15.842[s], energy -758280887100590, penalty energy 0, src id 0
Progress: 15.843[s], energy -758282404311549, penalty energy 0, src id 0
Progress: 15.843[s], energy -758283543631379, penalty energy 0, src id 0
Progress: 16.446[s], energy -758284095134806, penalty energy 0, src id 0
Progress: 16.446[s], energy -758284273651118, penalty energy 0, src id 0
Progress: 16.446[s], energy -758286777476888, penalty energy 0, src id 0
Progress: 16.905[s], energy -758290482951313, penalty energy 0, src id 0
Progress: 17.375[s], energy -758291363784027, penalty energy 0, src id 0
Progress: 17.375[s], energy -758291457154022, penalty energy 0, src id 0
Progress: 17.375[s], energy -758291888761091, penalty energy 0, src id 0
Progress: 17.375[s], energy -758297701310014, penalty energy 0, src id 0
Progress: 17.942[s], energy -758312191191356, penalty energy 0, src id 0
Progress: 17.943[s], energy -758315097973646, penalty energy 0, src id 0
Progress: 17.943[s], energy -758315399595359, penalty energy 0, src id 0
Progress: 18.617[s], energy -758326405444385, penalty energy 0, src id 0
Progress: 19.106[s], energy -758331878953558, penalty energy 0, src id 0
Progress: 19.594[s], energy -758335638531029, penalty energy 0, src id 0
Progress: 19.594[s], energy -758339370027538, penalty energy 0, src id 0
Progress: 19.594[s], energy -758339375778681, penalty energy 0, src id 0
Progress: 19.595[s], energy -758342663987412, penalty energy 0, src id 0
Progress: 22.258[s], energy -758353970187734, penalty energy 0, src id 0
Progress: 22.874[s], energy -758382393397392, penalty energy 0, src id 0
Progress: 22.874[s], energy -758383787859884, penalty energy 0, src id 0
Progress: 22.874[s], energy -758384201015103, penalty energy 0, src id 0
Progress: 22.874[s], energy -758402032593969, penalty energy 0, src id 0
Progress: 23.458[s], energy -758413893367358, penalty energy 0, src id 0
Progress: 23.459[s], energy -758421390484357, penalty energy 0, src id 0
Progress: 24.000[s], energy -758437956437000, penalty energy 0, src id 0
Progress: 24.000[s], energy -758438854079004, penalty energy 0, src id 0
Progress: 24.000[s], energy -758438938090918, penalty energy 0, src id 0
Progress: 24.000[s], energy -758439195280873, penalty energy 0, src id 0
Progress: 24.506[s], energy -758450118897129, penalty energy 0, src id 0
Progress: 24.506[s], energy -758450142533767, penalty energy 0, src id 0
Progress: 25.039[s], energy -758454420217782, penalty energy 0, src id 0
Progress: 25.039[s], energy -758456803477120, penalty energy 0, src id 0
Progress: 25.039[s], energy -758458381069976, penalty energy 0, src id 0
