+--------------+--------------+--------------+--------------+------------------+--------------+
|         load |        build |        solve |     evaluate |              cut |        total |
+--------------+--------------+--------------+--------------+------------------+--------------+
Total...
Creating variable map...
Creating variable map done 1627.585821 msec
Counting QUBO weights...
Counting QUBO weights done 843.310581 msec
Converting QUBO to CRS format...
  Adding weights...
  Adding weights done 8071.008557 msec
  Creating CRS data...
  Creating CRS data done 2.648828 msec
Converting QUBO to CRS format done 8073.762371 msec
scaling factor: 1
number of QUBO weights: 71517, rate: 0.0%
Solve...
Progress: 16.749[s], energy -3740730, penalty energy 0, src id 0
Progress: 16.749[s], energy -3740834, penalty energy 0, src id 0
Progress: 24.387[s], energy -3795162, penalty energy 0, src id 0
Progress: 29.143[s], energy -3830652, penalty energy 0, src id 0
Progress: 32.738[s], energy -3843682, penalty energy 0, src id 0
Progress: 32.739[s], energy -3843792, penalty energy 0, src id 0
Progress: 32.739[s], energy -3843841, penalty energy 0, src id 0
Progress: 32.739[s], energy -3844646, penalty energy 0, src id 0
Progress: 35.134[s], energy -3851533, penalty energy 0, src id 0
Progress: 35.135[s], energy -3851623, penalty energy 0, src id 0
Progress: 35.136[s], energy -3851870, penalty energy 0, src id 0
Progress: 37.325[s], energy -3854694, penalty energy 0, src id 0
Progress: 39.225[s], energy -3856660, penalty energy 0, src id 0
Progress: 39.226[s], energy -3856806, penalty energy 0, src id 0
Progress: 41.107[s], energy -3857766, penalty energy 0, src id 0
Progress: 41.107[s], energy -3857806, penalty energy 0, src id 0
Progress: 42.567[s], energy -3858122, penalty energy 0, src id 0
Progress: 43.812[s], energy -3858280, penalty energy 0, src id 0
Progress: 45.068[s], energy -3858344, penalty energy 0, src id 0
Progress: 45.069[s], energy -3858374, penalty energy 0, src id 0
Progress: 46.332[s], energy -3858526, penalty energy 0, src id 0
Progress: 46.332[s], energy -3858552, penalty energy 0, src id 0
Progress: 47.546[s], energy -3858796, penalty energy 0, src id 0
Progress: 47.546[s], energy -3858862, penalty energy 0, src id 0
Progress: 48.766[s], energy -3859096, penalty energy 0, src id 0
Progress: 48.767[s], energy -3859212, penalty energy 0, src id 0
Progress: 50.029[s], energy -3859270, penalty energy 0, src id 0
Progress: 50.029[s], energy -3859288, penalty energy 0, src id 0
Progress: 50.030[s], energy -3859294, penalty energy 0, src id 0
Progress: 51.346[s], energy -3859358, penalty energy 0, src id 0
Progress: 51.346[s], energy -3859482, penalty energy 0, src id 0
Progress: 51.347[s], energy -3859570, penalty energy 0, src id 0
Progress: 52.599[s], energy -3859702, penalty energy 0, src id 0
Progress: 52.599[s], energy -3859730, penalty energy 0, src id 0
Progress: 52.599[s], energy -3859766, penalty energy 0, src id 0
Progress: 53.852[s], energy -3860016, penalty energy 0, src id 0
Progress: 53.853[s], energy -3860032, penalty energy 0, src id 0
Progress: 53.853[s], energy -3860096, penalty energy 0, src id 0
Progress: 53.853[s], energy -3860142, penalty energy 0, src id 0
Progress: 55.136[s], energy -3860372, penalty energy 0, src id 0
Progress: 55.136[s], energy -3860454, penalty energy 0, src id 0
Progress: 55.136[s], energy -3860466, penalty energy 0, src id 0
Progress: 55.136[s], energy -3860488, penalty energy 0, src id 0
Progress: 56.425[s], energy -3860652, penalty energy 0, src id 0
Progress: 56.425[s], energy -3860758, penalty energy 0, src id 0
Progress: 57.756[s], energy -3861092, penalty energy 0, src id 0
Progress: 59.080[s], energy -3861186, penalty energy 0, src id 0
Progress: 59.080[s], energy -3861202, penalty energy 0, src id 0
Progress: 59.080[s], energy -3861206, penalty energy 0, src id 0
Progress: 60.393[s], energy -3861448, penalty energy 0, src id 0
Progress: 60.393[s], energy -3861490, penalty energy 0, src id 0
Progress: 60.393[s], energy -3861502, penalty energy 0, src id 0
Progress: 61.648[s], energy -3861554, penalty energy 0, src id 0
Progress: 61.649[s], energy -3861558, penalty energy 0, src id 0
Progress: 61.649[s], energy -3861562, penalty energy 0, src id 0
Progress: 61.649[s], energy -3861610, penalty energy 0, src id 0
Progress: 62.936[s], energy -3861638, penalty energy 0, src id 0
Progress: 62.936[s], energy -3861656, penalty energy 0, src id 0
Progress: 62.937[s], energy -3861708, penalty energy 0, src id 0
Progress: 64.221[s], energy -3861868, penalty energy 0, src id 0
Progress: 64.222[s], energy -3862204, penalty energy 0, src id 0
Progress: 65.553[s], energy -3862562, penalty energy 0, src id 0
Progress: 65.553[s], energy -3862570, penalty energy 0, src id 0
Progress: 66.811[s], energy -3862980, penalty energy 0, src id 0
Progress: 66.812[s], energy -3863012, penalty energy 0, src id 0
Progress: 66.812[s], energy -3863034, penalty energy 0, src id 0
Progress: 68.087[s], energy -3863098, penalty energy 0, src id 0
Progress: 68.087[s], energy -3863106, penalty energy 0, src id 0
Progress: 68.088[s], energy -3863344, penalty energy 0, src id 0
Progress: 69.368[s], energy -3863518, penalty energy 0, src id 0
Progress: 69.368[s], energy -3863582, penalty energy 0, src id 0
Progress: 70.701[s], energy -3863632, penalty energy 0, src id 0
Progress: 71.969[s], energy -3863792, penalty energy 0, src id 0
Progress: 73.234[s], energy -3863880, penalty energy 0, src id 0
Progress: 74.481[s], energy -3864018, penalty energy 0, src id 0
Progress: 74.482[s], energy -3864024, penalty energy 0, src id 0
Progress: 75.765[s], energy -3864080, penalty energy 0, src id 0
Progress: 75.765[s], energy -3864084, penalty energy 0, src id 0
Progress: 75.766[s], energy -3864118, penalty energy 0, src id 0
Progress: 75.766[s], energy -3864156, penalty energy 0, src id 0
Progress: 77.082[s], energy -3864182, penalty energy 0, src id 0
Progress: 87.819[s], energy -3865369, penalty energy 0, src id 1
Progress: 112.736[s], energy -3868155, penalty energy 0, src id 1
Progress: 115.821[s], energy -3869926, penalty energy 0, src id 0
Progress: 115.822[s], energy -3870048, penalty energy 0, src id 0
Progress: 117.572[s], energy -3871731, penalty energy 0, src id 0
Progress: 117.573[s], energy -3871772, penalty energy 0, src id 0
Progress: 117.573[s], energy -3871825, penalty energy 0, src id 0
Progress: 118.962[s], energy -3872613, penalty energy 0, src id 0
Progress: 118.963[s], energy -3872693, penalty energy 0, src id 0
Progress: 120.701[s], energy -3873039, penalty energy 0, src id 0
Progress: 120.701[s], energy -3873063, penalty energy 0, src id 0
Progress: 120.701[s], energy -3873107, penalty energy 0, src id 0
Progress: 122.382[s], energy -3873245, penalty energy 0, src id 0
Progress: 122.382[s], energy -3873249, penalty energy 0, src id 0
Progress: 122.382[s], energy -3873253, penalty energy 0, src id 0
Progress: 122.382[s], energy -3873271, penalty energy 0, src id 0
Progress: 122.382[s], energy -3873343, penalty energy 0, src id 0
Progress: 123.623[s], energy -3873419, penalty energy 0, src id 0
Progress: 124.953[s], energy -3873461, penalty energy 0, src id 0
Progress: 124.953[s], energy -3873481, penalty energy 0, src id 0
Progress: 154.822[s], energy -3873876, penalty energy 0, src id 0
Progress: 154.823[s], energy -3874244, penalty energy 0, src id 0
Progress: 162.254[s], energy -3874445, penalty energy 0, src id 1
Progress: 164.947[s], energy -3875886, penalty energy 0, src id 0
Progress: 164.947[s], energy -3876040, penalty energy 0, src id 0
Progress: 164.947[s], energy -3876378, penalty energy 0, src id 0
Progress: 166.261[s], energy -3877206, penalty energy 0, src id 0
Progress: 166.262[s], energy -3877230, penalty energy 0, src id 0
Progress: 166.262[s], energy -3877530, penalty energy 0, src id 0
Progress: 167.537[s], energy -3877638, penalty energy 0, src id 0
Progress: 167.537[s], energy -3877644, penalty energy 0, src id 0
Progress: 167.537[s], energy -3877734, penalty energy 0, src id 0
Progress: 168.745[s], energy -3877870, penalty energy 0, src id 0
Progress: 170.079[s], energy -3877920, penalty energy 0, src id 0
Progress: 170.080[s], energy -3878002, penalty energy 0, src id 0
Progress: 171.360[s], energy -3878136, penalty energy 0, src id 0
Progress: 211.231[s], energy -3879146, penalty energy 0, src id 1
Progress: 221.496[s], energy -3879906, penalty energy 0, src id 0
Progress: 221.496[s], energy -3879914, penalty energy 0, src id 0
Progress: 221.497[s], energy -3880038, penalty energy 0, src id 0
Progress: 223.041[s], energy -3880578, penalty energy 0, src id 0
Progress: 223.042[s], energy -3880672, penalty energy 0, src id 0
Progress: 223.042[s], energy -3880730, penalty energy 0, src id 0
Progress: 224.416[s], energy -3880856, penalty energy 0, src id 0
Progress: 225.713[s], energy -3881114, penalty energy 0, src id 0
Progress: 225.714[s], energy -3881136, penalty energy 0, src id 0
Progress: 257.917[s], energy -3881836, penalty energy 0, src id 0
Progress: 260.213[s], energy -3881992, penalty energy 0, src id 1
Progress: 267.390[s], energy -3882306, penalty energy 0, src id 0
Progress: 267.391[s], energy -3882452, penalty energy 0, src id 0
Progress: 267.391[s], energy -3882620, penalty energy 0, src id 0
Progress: 268.864[s], energy -3883124, penalty energy 0, src id 0
Progress: 270.175[s], energy -3883306, penalty energy 0, src id 0
Progress: 270.175[s], energy -3883322, penalty energy 0, src id 0
Progress: 270.175[s], energy -3883364, penalty energy 0, src id 0
Progress: 271.391[s], energy -3883402, penalty energy 0, src id 0
Progress: 272.620[s], energy -3883434, penalty energy 0, src id 0
Progress: 272.620[s], energy -3883456, penalty energy 0, src id 0
Progress: 272.620[s], energy -3883464, penalty energy 0, src id 0
Progress: 273.971[s], energy -3883474, penalty energy 0, src id 0
Progress: 275.279[s], energy -3883532, penalty energy 0, src id 0
Progress: 275.279[s], energy -3883550, penalty energy 0, src id 0
Progress: 276.476[s], energy -3883580, penalty energy 0, src id 0
Progress: 277.810[s], energy -3883602, penalty energy 0, src id 0
Progress: 308.896[s], energy -3884098, penalty energy 0, src id 1
Progress: 327.896[s], energy -3884170, penalty energy 0, src id 0
Progress: 329.202[s], energy -3884312, penalty energy 0, src id 0
Progress: 329.203[s], energy -3884316, penalty energy 0, src id 0
Progress: 330.786[s], energy -3884478, penalty energy 0, src id 0
Progress: 332.319[s], energy -3884492, penalty energy 0, src id 0
Progress: 333.243[s], energy -3884924, penalty energy 0, src id 1
Progress: 357.628[s], energy -3885352, penalty energy 0, src id 1
Progress: 368.496[s], energy -3885356, penalty energy 0, src id 0
Progress: 377.593[s], energy -3887118, penalty energy 0, src id 0
Progress: 377.593[s], energy -3887140, penalty energy 0, src id 0
Progress: 377.593[s], energy -3887252, penalty energy 0, src id 0
Progress: 379.034[s], energy -3887996, penalty energy 0, src id 0
Progress: 380.503[s], energy -3888278, penalty energy 0, src id 0
Progress: 380.503[s], energy -3888366, penalty energy 0, src id 0
Progress: 381.776[s], energy -3888430, penalty energy 0, src id 0
Progress: 381.777[s], energy -3888546, penalty energy 0, src id 0
Progress: 383.072[s], energy -3888550, penalty energy 0, src id 0
Progress: 383.072[s], energy -3888570, penalty energy 0, src id 0
Progress: 394.568[s], energy -3888574, penalty energy 0, src id 0
Progress: 406.664[s], energy -3889012, penalty energy 0, src id 1
Progress: 431.073[s], energy -3889522, penalty energy 0, src id 1
Progress: 455.351[s], energy -3889762, penalty energy 0, src id 1
Progress: 479.599[s], energy -3890102, penalty energy 0, src id 1
Progress: 503.834[s], energy -3890696, penalty energy 0, src id 1
Progress: 528.064[s], energy -3890828, penalty energy 0, src id 1
Progress: 552.421[s], energy -3891076, penalty energy 0, src id 1
Progress: 576.599[s], energy -3891226, penalty energy 0, src id 1
Progress: 600.957[s], energy -3891476, penalty energy 0, src id 1
Progress: 616.041[s], energy -3891648, penalty energy 0, src id 0
Progress: 617.347[s], energy -3891706, penalty energy 0, src id 0
Progress: 649.619[s], energy -3892082, penalty energy 0, src id 1
Progress: 673.776[s], energy -3892626, penalty energy 0, src id 1
Progress: 697.787[s], energy -3892654, penalty energy 0, src id 1
Progress: 722.071[s], energy -3892818, penalty energy 0, src id 1
Progress: 735.343[s], energy -3892922, penalty energy 0, src id 0
Progress: 735.343[s], energy -3892988, penalty energy 0, src id 0
Progress: 736.580[s], energy -3893016, penalty energy 0, src id 0
Progress: 736.580[s], energy -3893018, penalty energy 0, src id 0
Progress: 746.654[s], energy -3893054, penalty energy 0, src id 0
Progress: 770.929[s], energy -3893260, penalty energy 0, src id 1
Progress: 795.239[s], energy -3894018, penalty energy 0, src id 1
Progress: 819.349[s], energy -3894358, penalty energy 0, src id 1
Progress: 843.715[s], energy -3894430, penalty energy 0, src id 1
Progress: 868.001[s], energy -3894534, penalty energy 0, src id 1
Progress: 892.222[s], energy -3894638, penalty energy 0, src id 1
Progress: 916.344[s], energy -3894806, penalty energy 0, src id 1
Solve done 916350.988859 msec
Total done 926937.194715 msec
|        49.52 |      2214.98 |    926942.98 |         1.43 |         +3894806 |    929159.39 |
Total...
Creating variable map...
Creating variable map done 1624.656169 msec
Counting QUBO weights...
Counting QUBO weights done 832.311213 msec
Converting QUBO to CRS format...
  Adding weights...
  Adding weights done 8048.846029 msec
  Creating CRS data...
  Creating CRS data done 2.586770 msec
Converting QUBO to CRS format done 8051.530778 msec
scaling factor: 1
number of QUBO weights: 71517, rate: 0.0%
Solve...
Progress: 17.220[s], energy -3731913, penalty energy 0, src id 0
Progress: 17.221[s], energy -3736646, penalty energy 0, src id 0
Progress: 17.221[s], energy -3736714, penalty energy 0, src id 0
Progress: 26.589[s], energy -3790102, penalty energy 0, src id 0
Progress: 26.589[s], energy -3794966, penalty energy 0, src id 0
Progress: 26.589[s], energy -3796601, penalty energy 0, src id 0
Progress: 26.590[s], energy -3798667, penalty energy 0, src id 0
Progress: 31.109[s], energy -3831652, penalty energy 0, src id 0
Progress: 31.109[s], energy -3832523, penalty energy 0, src id 0
Progress: 34.447[s], energy -3844782, penalty energy 0, src id 0
Progress: 34.447[s], energy -3846478, penalty energy 0, src id 0
Progress: 36.651[s], energy -3851418, penalty energy 0, src id 0
Progress: 36.651[s], energy -3851748, penalty energy 0, src id 0
Progress: 38.551[s], energy -3854182, penalty energy 0, src id 0
Progress: 38.552[s], energy -3854508, penalty energy 0, src id 0
Progress: 38.552[s], energy -3854534, penalty energy 0, src id 0
Progress: 40.627[s], energy -3855460, penalty energy 0, src id 0
Progress: 40.627[s], energy -3855596, penalty energy 0, src id 0
Progress: 42.378[s], energy -3856266, penalty energy 0, src id 0
Progress: 42.378[s], energy -3856320, penalty energy 0, src id 0
Progress: 42.378[s], energy -3856326, penalty energy 0, src id 0
Progress: 43.761[s], energy -3856632, penalty energy 0, src id 0
Progress: 45.189[s], energy -3856848, penalty energy 0, src id 0
Progress: 45.189[s], energy -3856876, penalty energy 0, src id 0
Progress: 46.433[s], energy -3856932, penalty energy 0, src id 0
Progress: 46.433[s], energy -3856938, penalty energy 0, src id 0
Progress: 46.433[s], energy -3857084, penalty energy 0, src id 0
Progress: 46.434[s], energy -3857090, penalty energy 0, src id 0
Progress: 46.434[s], energy -3857138, penalty energy 0, src id 0
Progress: 47.663[s], energy -3857228, penalty energy 0, src id 0
Progress: 47.663[s], energy -3857244, penalty energy 0, src id 0
Progress: 48.928[s], energy -3857366, penalty energy 0, src id 0
Progress: 48.928[s], energy -3857398, penalty energy 0, src id 0
Progress: 50.206[s], energy -3857544, penalty energy 0, src id 0
Progress: 50.206[s], energy -3857620, penalty energy 0, src id 0
Progress: 50.206[s], energy -3857636, penalty energy 0, src id 0
Progress: 51.433[s], energy -3857704, penalty energy 0, src id 0
Progress: 51.434[s], energy -3857722, penalty energy 0, src id 0
Progress: 52.633[s], energy -3857914, penalty energy 0, src id 0
Progress: 52.633[s], energy -3857946, penalty energy 0, src id 0
Progress: 52.634[s], energy -3857986, penalty energy 0, src id 0
Progress: 53.878[s], energy -3858102, penalty energy 0, src id 0
Progress: 53.879[s], energy -3858104, penalty energy 0, src id 0
Progress: 53.879[s], energy -3858138, penalty energy 0, src id 0
Progress: 53.879[s], energy -3858174, penalty energy 0, src id 0
Progress: 53.879[s], energy -3858216, penalty energy 0, src id 0
Progress: 55.233[s], energy -3858632, penalty energy 0, src id 0
Progress: 55.233[s], energy -3858712, penalty energy 0, src id 0
Progress: 56.502[s], energy -3858772, penalty energy 0, src id 0
Progress: 56.502[s], energy -3858820, penalty energy 0, src id 0
Progress: 56.502[s], energy -3858828, penalty energy 0, src id 0
Progress: 57.806[s], energy -3859098, penalty energy 0, src id 0
Progress: 57.806[s], energy -3859262, penalty energy 0, src id 0
Progress: 59.082[s], energy -3859676, penalty energy 0, src id 0
Progress: 59.082[s], energy -3859710, penalty energy 0, src id 0
