name,nodes,edges,density,limit,has_leafs,int_only
G55,4969,12498,0.0010125580531663463,13.945,True,True
G56,4969,12498,0.0010125580531663463,13.922,True,True
G57,5000,10000,0.0008001600320064013,11.299,False,True
G58,5000,29570,0.0023660732146429287,11.876,False,True
G59,5000,29570,0.0023660732146429287,15.875,False,True
G60,6957,17148,0.0007086991205237332,27.202,True,True
G61,6957,17148,0.0007086991205237332,27.173,True,True
G62,7000,14000,0.0005715102157451065,22.082,False,True
G63,7000,41459,0.0016924458596125978,22.881,False,True
G64,7000,41459,0.0016924458596125978,30.805,False,True
G65,8000,16000,0.0005000625078134767,28.665,False,True
G66,9000,18000,0.00044449383264807203,36.481,False,True
G67,10000,20000,0.00040004000400040005,44.966,False,True
G70,8646,9999,0.00026755085011412853,39.964,True,True
G72,10000,20000,0.00040004000400040005,44.890,False,True
G77,14000,28000,0.0002857346953353811,88.446,False,True
G81,20000,40000,0.000200010000500025,180.636,False,True
be100.1,101,564,0.11168316831683169,0.021,False,True
be100.10,101,585,0.11584158415841585,0.024,False,True
be100.2,101,582,0.11524752475247525,0.024,False,True
be100.3,101,590,0.11683168316831684,0.024,False,True
be100.4,101,575,0.11386138613861387,0.023,False,True
be100.5,101,559,0.1106930693069307,0.023,False,True
be100.6,101,610,0.12079207920792079,0.024,False,True
be100.7,101,569,0.11267326732673268,0.023,False,True
be100.8,101,592,0.11722772277227722,0.024,False,True
be100.9,101,602,0.1192079207920792,0.024,False,True
be1000.1,1001,50458,0.10081518481518481,2.913,False,True
be1000.10,1001,50028,0.09995604395604396,2.947,False,True
be1000.2,1001,50479,0.10085714285714285,2.958,False,True
be1000.3,1001,50696,0.1012907092907093,2.944,False,True
be1000.4,1001,50617,0.10113286713286714,2.983,False,True
be1000.5,1001,50492,0.10088311688311688,2.990,False,True
be1000.6,1001,50865,0.10162837162837163,2.965,False,True
be1000.7,1001,50402,0.10070329670329671,2.892,False,True
be1000.8,1001,50462,0.10082317682317682,2.932,False,True
be1000.9,1001,50500,0.1008991008991009,2.966,False,True
be250.1,251,3339,0.10642231075697212,0.148,False,True
be250.10,251,3295,0.1050199203187251,0.148,False,True
be250.2,251,3285,0.10470119521912351,0.143,False,True
be250.3,251,3313,0.10559362549800796,0.145,False,True
be250.4,251,3397,0.10827091633466135,0.148,False,True
be250.5,251,3364,0.1072191235059761,0.145,False,True
be250.6,251,3433,0.1094183266932271,0.146,False,True
be250.7,251,3337,0.1063585657370518,0.148,False,True
be250.8,251,3265,0.10406374501992031,0.136,False,True
be250.9,251,3395,0.10820717131474103,0.146,False,True
be2500.1,2501,312971,0.10011067572970812,23.460,False,True
be2500.10,2501,311640,0.09968492602958816,23.108,False,True
